Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pitch,z,pris,y,roll,z,124
roll,z,pitch,y,pitch,x,pitch,x,pitch,y,roll,z,125
roll,z,pitch,y,pitch,x,pitch,x,pris,y,roll,z,126
roll,z,pitch,y,pitch,x,pitch,y,pris,z,pitch,x,127
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pitch,x,128
roll,z,pitch,y,pitch,x,pitch,z,pris,z,pitch,x,129
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pitch,x,130
roll,z,pitch,y,pitch,x,pitch,x,pris,z,pitch,x,131
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pitch,x,132
roll,z,pitch,y,pitch,x,pitch,y,pris,z,pitch,y,133
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pitch,y,134
roll,z,pitch,y,pitch,x,pitch,y,roll,z,pitch,y,135
roll,z,pitch,y,pitch,x,pitch,z,pris,z,pitch,y,136
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pitch,y,137
roll,z,pitch,y,pitch,x,pitch,z,roll,z,pitch,y,138
roll,z,pitch,y,pitch,x,pitch,x,pris,z,pitch,y,139
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pitch,y,140
roll,z,pitch,y,pitch,x,pitch,x,roll,z,pitch,y,141
roll,z,pitch,y,pitch,x,pitch,y,pris,z,pitch,z,142
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pitch,z,143
roll,z,pitch,y,pitch,x,pitch,z,pris,z,pitch,z,144
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pitch,z,145
roll,z,pitch,y,pitch,x,pitch,x,pris,z,pitch,z,146
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pitch,z,147
roll,z,pitch,y,pitch,x,pitch,y,pris,z,pris,x,148
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pris,x,149
roll,z,pitch,y,pitch,x,pitch,z,pris,z,pris,x,150
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pris,x,151
roll,z,pitch,y,pitch,x,pitch,x,pris,z,pris,x,152
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pris,x,153
roll,z,pitch,y,pitch,x,pitch,y,pris,z,pris,y,154
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pris,y,155
roll,z,pitch,y,pitch,x,pitch,y,roll,z,pris,y,156
roll,z,pitch,y,pitch,x,pitch,z,pris,z,pris,y,157
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pris,y,158
roll,z,pitch,y,pitch,x,pitch,z,roll,z,pris,y,159
roll,z,pitch,y,pitch,x,pitch,x,pris,z,pris,y,160
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pris,y,161
roll,z,pitch,y,pitch,x,pitch,x,roll,z,pris,y,162
roll,z,pitch,y,pitch,x,pitch,y,pitch,z,pris,z,163
roll,z,pitch,y,pitch,x,pitch,y,roll,z,pris,z,164
roll,z,pitch,y,pitch,x,pitch,z,pitch,z,pris,z,165
roll,z,pitch,y,pitch,x,pitch,z,roll,z,pris,z,166
roll,z,pitch,y,pitch,x,pitch,x,pitch,z,pris,z,167
