,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
126,_roll_z_0_1_pris_y_0_3_roll_y_0_5_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
127,_roll_z_0_1_pris_y_0_3_roll_y_0_3_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
128,_roll_z_0_1_roll_y_0_7_pris_y_0_1_roll_z_0_1_pitch_y_0_7,,,,,,,,,,,
129,_roll_z_0_1_pris_y_0_1_roll_y_0_5_roll_y_0_1_pris_z_0_7,,,,,,,,,,,
130,_roll_z_0_1_pitch_y_0_7_pris_y_0_1_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
131,_roll_z_0_1_pris_y_0_3_roll_y_0_3_pitch_y_0_7_pitch_x_0_1,,,,,,,,,,,
132,_roll_z_0_1_pris_z_0_5_pris_y_0_1_roll_y_0_5_pitch_y_0_7,,,,,,,,,,,
133,_roll_z_0_1_pris_y_0_3_roll_y_0_3_pitch_y_0_3_pitch_x_0_7,,,,,,,,,,,
134,_roll_z_0_1_roll_y_0_3_pitch_y_0_7_pris_y_0_1_pitch_x_0_7,,,,,,,,,,,
135,_roll_z_0_1_pris_y_0_5_roll_y_0_7_pitch_y_0_1_roll_z_0_5,,,,,,,,,,,
136,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_y_0_1_pitch_z_0_7,,,,,,,,,,,
137,_roll_z_0_1_roll_y_0_3_pitch_y_0_1_pris_y_0_5_roll_x_0_7,,,,,,,,,,,
138,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_z_0_3_roll_x_0_7,,,,,,,,,,,
139,_roll_z_0_1_pris_y_0_1_pitch_x_0_7_roll_z_0_5_pitch_y_0_5,,,,,,,,,,,
140,_roll_z_0_1_roll_y_0_1_pitch_y_0_1_pitch_x_0_7_pitch_y_0_7,,,,,,,,,,,
141,_roll_z_0_1_pris_y_0_1_roll_y_0_7_roll_y_0_3_pris_z_0_7,,,,,,,,,,,
142,_roll_z_0_1_roll_y_0_3_pris_y_0_7_pris_x_0_1_roll_y_0_5,,,,,,,,,,,
143,_roll_z_0_1_roll_y_0_5_pris_y_0_5_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
144,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pris_y_0_1_roll_z_0_5,,,,,,,,,,,
145,_roll_z_0_1_roll_y_0_3_pris_y_0_5_roll_x_0_3_pitch_y_0_5,,,,,,,,,,,
146,_roll_z_0_1_roll_y_0_5_pitch_y_0_1_pitch_y_0_1_pitch_x_0_7,,,,,,,,,,,
147,_roll_z_0_1_roll_y_0_3_pris_y_0_5_pitch_y_0_3_roll_y_0_7,,,,,,,,,,,
148,_roll_z_0_1_pitch_y_0_5_pris_y_0_1_roll_y_0_3_pris_z_0_7,,,,,,,,,,,
149,_roll_z_0_1_pitch_y_0_5_pris_y_0_1_roll_y_0_7_pitch_y_0_5,,,,,,,,,,,
150,_roll_z_0_1_roll_y_0_5_pris_y_0_3_pitch_y_0_1_roll_y_0_7,,,,,,,,,,,
151,_roll_z_0_1_roll_y_0_1_pitch_y_0_3_pris_y_0_7_roll_x_0_7,,,,,,,,,,,
152,_roll_z_0_1_roll_y_0_3_pris_y_0_3_pris_y_0_3_roll_z_0_5,,,,,,,,,,,
153,_roll_z_0_1_pris_y_0_5_roll_z_0_5_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
154,_roll_z_0_1_pris_y_0_1_roll_y_0_5_roll_y_0_5_pitch_y_0_5,,,,,,,,,,,
155,_roll_z_0_1_pris_y_0_3_roll_x_0_1_roll_y_0_7_roll_y_0_5,,,,,,,,,,,
156,_roll_z_0_1_pris_y_0_5_roll_y_0_7_pris_y_0_1_roll_z_0_5,,,,,,,,,,,
157,_roll_z_0_1_roll_y_0_5_pris_y_0_3_pitch_z_0_1_roll_x_0_7,,,,,,,,,,,
158,_roll_z_0_1_pris_y_0_5_pris_x_0_1_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
159,_roll_z_0_1_pris_y_0_3_roll_y_0_7_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
160,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pitch_y_0_1_pris_z_0_5,,,,,,,,,,,
161,_roll_z_0_1_pris_y_0_1_pitch_y_0_1_roll_y_0_7_pitch_y_0_7,,,,,,,,,,,
162,_roll_z_0_1_pris_y_0_1_roll_y_0_3_pris_z_0_3_roll_y_0_7,,,,,,,,,,,
163,_roll_z_0_1_roll_y_0_1_pris_y_0_7_pitch_x_0_1_pitch_z_0_5,,,,,,,,,,,
