Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,roll,y,pris,y,pris,y,pitch,y,121
roll,z,pris,z,roll,y,pris,y,pris,y,pitch,z,122
roll,z,pris,z,roll,y,pris,y,pris,y,roll,x,123
roll,z,pris,z,roll,y,pris,y,pris,y,roll,z,124
roll,z,pris,z,roll,y,pris,y,pris,y,pitch,x,125
roll,z,pris,z,roll,y,pris,y,pitch,z,roll,y,126
roll,z,pris,z,roll,y,pris,y,pitch,z,pitch,y,127
roll,z,pris,z,roll,y,pris,y,pitch,z,pris,z,128
roll,z,pris,z,roll,y,pris,y,pitch,z,pris,y,129
roll,z,pris,z,roll,y,pris,y,pitch,z,pitch,z,130
roll,z,pris,z,roll,y,pris,y,pitch,z,roll,x,131
roll,z,pris,z,roll,y,pris,y,pitch,z,pris,x,132
roll,z,pris,z,roll,y,pris,y,pitch,z,roll,z,133
roll,z,pris,z,roll,y,pris,y,pitch,z,pitch,x,134
roll,z,pris,z,roll,y,pris,y,roll,x,roll,y,135
roll,z,pris,z,roll,y,pris,y,roll,x,pitch,y,136
roll,z,pris,z,roll,y,pris,y,roll,x,pris,z,137
roll,z,pris,z,roll,y,pris,y,roll,x,pris,y,138
roll,z,pris,z,roll,y,pris,y,pris,x,roll,y,139
roll,z,pris,z,roll,y,pris,y,pris,x,pitch,y,140
roll,z,pris,z,roll,y,pris,y,pris,x,pitch,z,141
roll,z,pris,z,roll,y,pris,y,pris,x,roll,x,142
roll,z,pris,z,roll,y,pris,y,pris,x,roll,z,143
roll,z,pris,z,roll,y,pris,y,pris,x,pitch,x,144
roll,z,pris,z,roll,y,pris,y,roll,z,roll,y,145
roll,z,pris,z,roll,y,pris,y,roll,z,pitch,y,146
roll,z,pris,z,roll,y,pris,y,roll,z,pris,y,147
roll,z,pris,z,roll,y,pris,y,pitch,x,roll,y,148
roll,z,pris,z,roll,y,pris,y,pitch,x,pitch,y,149
roll,z,pris,z,roll,y,pris,y,pitch,x,pris,z,150
roll,z,pris,z,roll,y,pris,y,pitch,x,pris,y,151
roll,z,pris,z,roll,y,pris,y,pitch,x,pitch,z,152
roll,z,pris,z,roll,y,pris,y,pitch,x,roll,x,153
roll,z,pris,z,roll,y,pris,y,pitch,x,pris,x,154
roll,z,pris,z,roll,y,pris,y,pitch,x,roll,z,155
roll,z,pris,z,roll,y,pris,y,pitch,x,pitch,x,156
roll,z,pris,z,pitch,y,roll,y,roll,y,roll,y,157
roll,z,pris,z,pitch,y,roll,y,roll,y,pitch,y,158
roll,z,pris,z,pitch,y,roll,y,roll,y,pris,z,159
roll,z,pris,z,pitch,y,roll,y,roll,y,pris,y,160
roll,z,pris,z,pitch,y,roll,y,pitch,y,roll,y,161
roll,z,pris,z,pitch,y,roll,y,pitch,y,pitch,y,162
roll,z,pris,z,pitch,y,roll,y,pitch,y,pris,z,163
roll,z,pris,z,pitch,y,roll,y,pitch,y,pris,y,164
roll,z,pris,z,pitch,y,roll,y,pitch,y,pitch,z,165
roll,z,pris,z,pitch,y,roll,y,pitch,y,roll,x,166
roll,z,pris,z,pitch,y,roll,y,pitch,y,pris,x,167
roll,z,pris,z,pitch,y,roll,y,pitch,y,roll,z,168
roll,z,pris,z,pitch,y,roll,y,pitch,y,pitch,x,169
roll,z,pris,z,pitch,y,roll,y,pris,z,roll,y,170
roll,z,pris,z,pitch,y,roll,y,pris,z,pitch,y,171
roll,z,pris,z,pitch,y,roll,y,pris,z,pris,y,172
roll,z,pris,z,pitch,y,roll,y,pris,y,roll,y,173
roll,z,pris,z,pitch,y,roll,y,pris,y,pitch,y,174
roll,z,pris,z,pitch,y,roll,y,pris,y,pris,y,175
roll,z,pris,z,pitch,y,roll,y,pris,y,pitch,z,176
roll,z,pris,z,pitch,y,roll,y,pris,y,roll,x,177
roll,z,pris,z,pitch,y,roll,y,pris,y,pris,x,178
roll,z,pris,z,pitch,y,roll,y,pris,y,roll,z,179
roll,z,pris,z,pitch,y,roll,y,pris,y,pitch,x,180
roll,z,pris,z,pitch,y,pitch,y,roll,y,roll,y,181
roll,z,pris,z,pitch,y,pitch,y,roll,y,pitch,y,182
roll,z,pris,z,pitch,y,pitch,y,roll,y,pris,z,183
roll,z,pris,z,pitch,y,pitch,y,roll,y,pris,y,184
roll,z,pris,z,pitch,y,pitch,y,pitch,y,roll,y,185
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pitch,y,186
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pris,z,187
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pris,y,188
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pitch,z,189
roll,z,pris,z,pitch,y,pitch,y,pitch,y,roll,x,190
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pris,x,191
roll,z,pris,z,pitch,y,pitch,y,pitch,y,roll,z,192
roll,z,pris,z,pitch,y,pitch,y,pitch,y,pitch,x,193
roll,z,pris,z,pitch,y,pitch,y,pris,z,roll,y,194
roll,z,pris,z,pitch,y,pitch,y,pris,z,pitch,y,195
roll,z,pris,z,pitch,y,pitch,y,pris,z,pris,y,196
roll,z,pris,z,pitch,y,pitch,y,pris,z,pitch,z,197
roll,z,pris,z,pitch,y,pitch,y,pris,z,roll,x,198
roll,z,pris,z,pitch,y,pitch,y,pris,z,pris,x,199
roll,z,pris,z,pitch,y,pitch,y,pris,z,roll,z,200
roll,z,pris,z,pitch,y,pitch,y,pris,z,pitch,x,201
roll,z,pris,z,pitch,y,pitch,y,pris,y,roll,y,202
roll,z,pris,z,pitch,y,pitch,y,pris,y,pitch,y,203
roll,z,pris,z,pitch,y,pitch,y,pris,y,pris,y,204
roll,z,pris,z,pitch,y,pitch,y,pris,y,pitch,z,205
roll,z,pris,z,pitch,y,pitch,y,pris,y,roll,x,206
roll,z,pris,z,pitch,y,pitch,y,pris,y,pris,x,207
roll,z,pris,z,pitch,y,pitch,y,pris,y,roll,z,208
roll,z,pris,z,pitch,y,pitch,y,pris,y,pitch,x,209
roll,z,pris,z,pitch,y,pitch,y,pitch,z,roll,y,210
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pitch,y,211
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pris,z,212
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pris,y,213
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pitch,z,214
roll,z,pris,z,pitch,y,pitch,y,pitch,z,roll,x,215
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pris,x,216
roll,z,pris,z,pitch,y,pitch,y,pitch,z,roll,z,217
roll,z,pris,z,pitch,y,pitch,y,pitch,z,pitch,x,218
roll,z,pris,z,pitch,y,pitch,y,roll,x,roll,y,219
roll,z,pris,z,pitch,y,pitch,y,roll,x,pitch,y,220
roll,z,pris,z,pitch,y,pitch,y,roll,x,pris,z,221
roll,z,pris,z,pitch,y,pitch,y,roll,x,pris,y,222
roll,z,pris,z,pitch,y,pitch,y,pris,x,roll,y,223
roll,z,pris,z,pitch,y,pitch,y,pris,x,pitch,y,224
roll,z,pris,z,pitch,y,pitch,y,pris,x,pris,y,225
