,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_pitch_x_0_7_roll_y_0_7,10,1.0329759120941162,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,1,0.028671979904174805,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,2,0.03778409957885742,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,3,0.05028510093688965,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,4,0.028083086013793945,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,5,0.03296303749084473,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,6,0.035002946853637695,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,7,0.03702712059020996,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,8,0.056494951248168945,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,9,0.04736208915710449,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_1_roll_x_0_5_pitch_y_0_5,10,0.0517120361328125,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,1,0.03269195556640625,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,2,0.036511898040771484,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,3,0.021179914474487305,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,4,0.01347208023071289,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,5,0.013410806655883789,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,6,0.012338876724243164,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,7,0.030062198638916016,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,8,0.029605865478515625,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,9,0.020277023315429688,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_3_roll_y_0_5,10,0.02044200897216797,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,1,1.0396478176116943,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,2,1.0448620319366455,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,3,1.0278270244598389,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,4,1.1456880569458008,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,5,0.01729297637939453,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,6,0.03079390525817871,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,7,0.02824711799621582,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,8,0.02898716926574707,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,9,0.025998830795288086,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_3,10,0.028464078903198242,False,,,,,,,,
0,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,1,1.026318073272705,False,,,,,,,,
1,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,2,1.0257840156555176,False,,,,,,,,
2,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,3,1.0197701454162598,False,,,,,,,,
3,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,4,1.0121328830718994,False,,,,,,,,
4,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,5,1.0096900463104248,False,,,,,,,,
5,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,6,1.0181059837341309,False,,,,,,,,
6,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,7,1.0181748867034912,False,,,,,,,,
7,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,8,1.0182521343231201,False,,,,,,,,
8,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,9,1.0256929397583008,False,,,,,,,,
9,_roll_z_0_1_pitch_y_0_1_pitch_z_0_1_pitch_x_0_3_pitch_x_0_7_roll_y_0_7,10,8.780074834823608,False,,,,,,,,
